 
****************************************
Report : area
Design : network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
Version: M-2016.12
Date   : Fri Nov 17 14:18:14 2017
****************************************

Library(s) Used:

    c18_CORELIB_TYP (File: /cad/dk/s/v4.11/c18_1.8V/c18_CORELIB_TYP.db)

Number of ports:                        36131
Number of nets:                        106833
Number of cells:                        65912
Number of combinational cells:          51800
Number of sequential cells:             13680
Number of macros/black boxes:               0
Number of buf/inv:                      11322
Number of references:                      17

Combinational area:             778866.686357
Buf/Inv area:                    68877.851871
Noncombinational area:          906103.292847
Macro/Black Box area:                0.000000
Net Interconnect area:          964318.998975

Total cell area:               1684969.979204
Total area:                    2649288.978179

Hierarchical area distribution
------------------------------

                                  Global cell area               Local cell area
                                  ---------------------  -------------------------------- 
Hierarchical cell                 Absolute      Percent  Combi-       Noncombi-    Black-
                                  Total         Total    national     national     boxes   Design
--------------------------------  ------------  -------  -----------  -----------  ------  ------------------------------------------------------------
network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
                                  1684969.9792    100.0      14.1120       0.0000  0.0000  network_4x4_DATA_WIDTH32_DATA_WIDTH_LV11
R_0                                101998.7136      6.1      28.2240       0.0000  0.0000  router_credit_based_DATA_WIDTH32_current_address0_NoC_size4
R_0/FIFO_E                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_78
R_0/FIFO_L                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_75
R_0/FIFO_N                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_79
R_0/FIFO_S                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_76
R_0/FIFO_W                          13699.9295      0.8    4806.5472    8893.3823  0.0000  FIFO_credit_based_DATA_WIDTH32_77
R_0/LBDR_E                           2630.4769      0.2    1097.9136    1532.5632  0.0000  LBDR_cur_addr_rst0_NoC_size4_3
